product_id,product_name,category,sub_category,brand,cost_price,selling_price,stock_qty
101,SG Yoga Series 5,Sports,Yoga,SG,4899,7650,365
102,Bata Formal Pro 5,Footwear,Formal,Bata,933,1970,173
103,LOreal Haircare Mini 1,Beauty,Haircare,LOreal,655,1060,476
104,Fossil Bags Air 9,Accessories,Bags,Fossil,4658,9690,109
105,Allen Solly Men's Wear Mini 9,Apparel,Men's Wear,Allen Solly,1084,1880,442
106,Voltas Personal Care Neo 2,Appliances,Personal Care,Voltas,14619,24750,83
107,Boat Television Air 6,Electronics,Television,Boat,43503,70760,481
108,Adidas Men's Wear Plus 9,Apparel,Men's Wear,Adidas,746,1420,469
109,Oxford Fiction Elite 2,Books,Fiction,Oxford,156,310,18
110,LOreal Makeup Neo 3,Beauty,Makeup,LOreal,2329,2890,315
111,HarperCollins Academic Air 1,Books,Academic,HarperCollins,577,1160,75
112,H&M Women's Wear Plus 4,Apparel,Women's Wear,H&M,481,1000,363
113,Nike Sports Advanced 7,Footwear,Sports,Nike,547,1110,416
114,Oxford Fiction Lite 5,Books,Fiction,Oxford,120,210,15
115,Bata Sports Classic 4,Footwear,Sports,Bata,1258,2130,56
116,Allen Solly Kids Wear Neo 6,Apparel,Kids Wear,Allen Solly,741,1140,383
117,SG Outdoor Ultra 2,Sports,Outdoor,SG,7470,9890,280
118,Pigeon Storage Mini 9,Kitchen,Storage,Pigeon,237,320,483
119,Pigeon Appliances Mini 8,Kitchen,Appliances,Pigeon,2041,4140,437
120,Titan Belts Classic 9,Accessories,Belts,Titan,1807,3650,170
121,Nike Sandals Essential 3,Footwear,Sandals,Nike,2598,4370,157
122,Penguin Fiction Edge 8,Books,Fiction,Penguin,175,310,317
123,Bosch Cooling Compact 7,Appliances,Cooling,Bosch,11201,14140,106
124,Reebok Sandals Neo 3,Footwear,Sandals,Reebok,641,890,354
125,Woodland Sandals Essential 2,Footwear,Sandals,Woodland,1009,1660,365
126,Nike Fitness Mini 2,Sports,Fitness,Nike,2415,4560,112
127,Nivia Yoga Premium 7,Sports,Yoga,Nivia,4929,8780,375
128,Nike Team Sports X 6,Sports,Team Sports,Nike,4058,5870,217
129,Nivea Makeup Elite 2,Beauty,Makeup,Nivea,362,560,128
130,Levi's Men's Wear Max 2,Apparel,Men's Wear,Levi's,1239,2690,101
131,Urban Ladder Office Air 2,Furniture,Office,Urban Ladder,27327,38250,276
132,Nivea Fragrance Air 8,Beauty,Fragrance,Nivea,993,1790,185
133,Penguin Fiction Series 2,Books,Fiction,Penguin,386,670,202
134,Lakme Fragrance Max 3,Beauty,Fragrance,Lakme,1596,2010,165
135,Zara Winter Wear Plus 5,Apparel,Winter Wear,Zara,2380,3690,66
136,Nike Yoga Compact 9,Sports,Yoga,Nike,4476,6990,447
137,Zara Men's Wear Smart 8,Apparel,Men's Wear,Zara,1875,3120,356
138,Fossil Jewellery Max 1,Accessories,Jewellery,Fossil,4501,8980,197
139,Puma Sunglasses Edge 7,Accessories,Sunglasses,Puma,1017,1730,192
140,IKEA Office Premium 4,Furniture,Office,IKEA,7185,12500,53
141,Nike Formal Edge 3,Footwear,Formal,Nike,546,940,245
142,Pepperfry Storage Pro 8,Furniture,Storage,Pepperfry,25169,29810,203
143,Yonex Yoga Lite 8,Sports,Yoga,Yonex,1058,1470,182
144,Nivea Makeup Air 6,Beauty,Makeup,Nivea,1804,3400,335
